game_id,min_players,max_players,avg_time,year,avg_rating,geek_rating,age,weight,Category_average,Mechanic_average
205398,2,8,60.0,2016,7.33254,6.8968,10,1.9495,0.04759924043765259,0.02115921787709497
205418,1,4,45.0,2016,7.16023,6.33657,8,2.383,0.015055610814721041,0.016620111731843575
205494,2,5,30.0,2016,6.70015,6.14873,10,1.8095,0.05277752659975284,0.03894320297951583
205498,2,5,90.0,2016,7.20303,6.03439,10,3.2381,0.03445157790035265,0.02196927374301676
205507,2,6,120.0,2016,7.05746,6.16999,14,2.6875,0.02580100672152395,0.028854748603351955
205597,2,4,30.0,2017,7.02229,6.50613,13,2.0725,0.041188172529161765,0.04912709497206704
205610,2,4,30.0,2016,6.70643,6.29496,14,1.1724,0.06166922868252101,0.027810754189944133
205637,1,2,120.0,2016,8.19579,7.92816,14,3.3832,0.03692316966573228,0.022262569832402233
205716,4,6,240.0,2016,7.18107,6.49461,14,3.2368,0.01808481779546071,0.011196461824953445
205867,2,2,45.0,2016,6.97681,6.08828,12,2.0625,0.10832805859480965,0.04536778398510243
205885,2,4,25.0,2016,6.7923,5.85482,8,1.3333,0.055249118365132466,0.009217877094972068
205896,3,5,120.0,2018,7.91938,7.60125,14,3.2714,0.023932242215993008,0.01785614525139665
206051,4,8,15.0,2016,7.07821,6.46309,9,1.0606,0.023721252675045965,0.015153631284916202
206084,1,2,30.0,2016,7.29367,6.19087,10,1.92,0.03339663019561745,0.032274208566108
206150,2,4,120.0,2017,7.88826,6.17065,10,2.3846,0.028519757663441538,0.03425279329608939
206156,1,3,40.0,2017,6.47021,5.84046,12,2.3448,0.04994423847846399,0.02692039106145251
206175,2,6,15.0,2016,6.33652,5.79441,8,1.05,0.030111221629442082,0.008205307262569832
206327,1,6,120.0,2018,7.48332,6.06408,14,2.3333,0.04164029297404829,0.05412011173184358
206504,2,2,30.0,2016,6.70861,6.04338,10,1.6667,0.045031196310697165,0.021298882681564248
206718,2,6,60.0,2017,7.48888,7.1854,14,2.0136,0.05814268921240619,0.04230446927374301
206754,4,8,20.0,2016,6.7017,5.79287,14,1.4286,0.021900714350302924,0.021578212290502795
206803,2,4,60.0,2016,7.36505,6.44706,10,2.2449,0.03232661180938602,0.022189245810055866
206915,3,10,15.0,2016,7.11267,6.22326,8,1.1429,0.038195135184013025,0.00824022346368715
206931,1,6,20.0,2016,7.03109,6.47011,8,1.1333,0.029116556650691745,0.039455307262569836
206940,2,5,35.0,2016,7.12913,6.26745,8,1.9333,0.01998372366398409,0.021089385474860334
206941,2,4,80.0,2016,7.49365,7.00377,10,2.7838,0.0585948096572927,0.030540037243947857
207016,1,10,45.0,2017,6.79481,6.04313,8,2.0909,0.01193597974500407,0.013687150837988828
207062,3,6,30.0,2016,6.71726,5.97147,14,1.4091,0.05814268921240619,0.01578212290502793
207207,2,4,45.0,2016,7.13877,6.21942,8,1.6552,0.018536938240347228,0.029504189944134077
207243,1,4,180.0,2018,7.87982,6.69543,14,3.0725,0.03130481960394249,0.016148743016759778
207336,2,5,30.0,2016,7.00358,6.59995,8,1.9565,0.047321939898122195,0.034241154562383615
207338,2,5,19.0,2016,6.36257,5.73195,8,1.1429,0.0412183138921542,0.040921787709497205
207687,1,4,30.0,2017,6.39499,5.79583,14,1.65,0.04186635319649154,0.016794692737430165
207691,2,4,90.0,2016,7.38443,6.64714,12,3.2529,0.008861560719775749,0.010218808193668528
207753,2,6,40.0,2017,6.54812,5.85981,8,1.8182,0.02429393857190222,0.03829143389199255
207830,2,5,30.0,2017,7.11381,6.69337,8,1.1145,0.05425445338638213,0.0349336592178771
207991,1,6,90.0,2019,7.59449,6.01879,14,3.125,0.024293938571902225,0.021031191806331468
208024,1,6,100.0,2018,7.87822,6.48127,13,2.7353,0.02140036772462851,0.026571229050279328
208480,1,6,20.0,2017,7.0574,5.94543,10,1.3,0.009404105253639569,0.00409683426443203
208766,2,6,30.0,2016,6.80808,5.88486,8,1.9167,0.011182445670193206,0.03789571694599628
208773,2,5,120.0,2016,7.58433,6.1426,12,2.625,0.013382765168640927,0.023400837988826813
208775,2,8,20.0,2016,7.15221,5.9802,8,1.1818,0.029116556650691745,0.0736731843575419
208895,2,6,30.0,2017,6.78068,6.33167,8,1.4419,0.022244325888416676,0.0007506983240223463
209001,1,4,120.0,2018,7.34554,6.15924,12,3.3774,0.051776833348404015,0.03336243016759777
209010,2,4,90.0,2016,8.07824,7.77193,14,2.4208,0.029003526539470113,0.022115921787709495
209324,2,5,90.0,2018,7.93266,6.17029,14,2.92,0.02166561171896193,0.026247007182761375
209325,1,5,30.0,2016,7.01129,6.06345,8,1.381,0.055249118365132466,0.052828212290502795
209418,2,4,30.0,2016,7.97995,7.09072,14,2.2432,0.06673297766525002,0.028584729981378024
209660,1,4,180.0,2018,7.58508,6.06326,12,3.5882,0.032426078307261054,0.02687277805992889
209685,2,5,45.0,2017,7.37391,7.18299,8,1.7711,0.05907707146517165,0.02244413407821229
209778,1,8,15.0,2017,7.10223,6.92286,8,1.7285,0.024504928112849263,0.01854050279329609
210040,2,4,60.0,2017,7.42341,5.95351,12,2.0,0.06343249841757843,0.06449022346368716
210052,2,4,60.0,2017,6.45119,5.73601,12,1.4,0.013021068812731712,0.014455307262569833
210232,1,4,360.0,2017,8.31554,6.20124,10,3.5319,0.03619977695391386,0.02815991620111732
210274,1,4,80.0,2018,7.00827,6.18243,14,3.1136,0.005877565783524731,0.03880935754189944
210290,1,5,60.0,2017,7.68681,6.1692,14,2.3333,0.018808210507279138,0.01935521415270019
210296,1,5,120.0,2019,7.6932,6.31525,14,2.9524,0.019802875486029478,0.02597765363128492
210900,2,4,30.0,2017,6.76627,5.99591,10,1.7368,0.01401573379148205,0.0410963687150838
211534,2,5,20.0,2017,5.54444,5.44738,7,1.2692,0.030979292883624193,0.03500000000000001
211716,1,6,180.0,2017,7.55229,6.33431,14,4.1646,0.01765530337281852,0.02705307262569832
211940,1,5,32.0,2016,6.53897,5.84062,6,1.1429,0.03630527172438738,0.052828212290502795
212281,1,5,180.0,2017,7.60456,6.14878,14,2.6957,0.02340175422732616,0.03634078212290503
212402,2,4,60.0,2018,7.192,6.62962,14,1.8784,0.04050999186183199,0.026675977653631288
212445,2,2,120.0,2016,8.10196,6.9006,12,3.5,0.029206980739669045,0.02575418994413408
212516,2,4,120.0,2017,7.36515,6.4445,14,3.5581,0.024256261868161676,0.03308310055865921
212765,1,4,20.0,2016,6.89134,5.9985,8,1.7037,0.04991409711547156,0.059951117318435755
213266,2,2,15.0,2017,7.22958,6.33024,8,1.75,0.04500105494770473,0.024022346368715083
213370,1,4,30.0,2017,6.49071,5.83317,8,1.3571,0.026855954426259158,0.022276536312849163
213460,2,6,75.0,2017,7.47965,6.96093,10,2.2453,0.03919884257166109,0.010172253258845437
213492,2,5,30.0,2017,6.77552,5.9569,10,1.9444,0.06298037797269192,0.01745810055865922
213893,2,4,80.0,2017,7.24523,6.83526,13,2.8947,0.006600958495343159,0.021752793296089385
213953,2,2,30.0,2017,6.65051,5.81755,12,1.1667,0.0021701781354552855,0.0111731843575419
213984,2,5,75.0,2017,7.62847,6.56507,10,2.5526,0.02644904602586129,0.024214385474860337
214000,2,5,100.0,2017,7.6882,6.49847,12,2.9487,0.03445157790035265,0.042562849162011175
214029,1,4,240.0,2018,7.72771,6.55259,12,2.9302,0.025047472646713084,0.04741620111731844
214032,1,4,120.0,2018,6.78474,6.24323,12,4.125,0.040931970943726075,0.026838919925512104
214293,3,5,90.0,2017,6.5774,6.08328,12,2.1071,0.012086686559966241,0.034881284916201113
214396,2,5,30.0,2017,7.12188,6.1775,10,1.48,0.04297404828646351,0.042074022346368714
214484,1,7,180.0,2017,7.83189,6.02937,12,3.1786,0.02667510624830455,0.028130819366852886
214880,2,4,180.0,2019,8.09158,6.65226,14,3.9167,0.019380896404135397,0.014722998137802609
214887,1,4,120.0,2018,7.68863,6.62,12,4.0177,0.01916990686318835,0.025360800744878956
215308,3,4,60.0,2017,6.85964,5.91579,14,1.8571,0.10832805859480965,0.003910614525139665
215311,2,6,40.0,2017,7.40318,6.99906,10,1.7748,0.010037073876480694,0.023777932960893856
215312,2,4,60.0,2017,7.02613,6.1578,10,1.5333,0.02341983904512162,0.025768156424581006
215341,2,4,90.0,2018,7.98642,7.0453,14,2.75,0.08323537390360791,0.015945065176908753
215371,4,8,30.0,2017,7.06894,6.00784,10,1.25,0.017029870090725503,0.01473463687150838
215463,2,2,50.0,2016,6.82061,6.10186,8,1.4783,0.01193597974500407,0.00736731843575419
215613,2,2,30.0,2017,7.0132,6.13101,14,2.6818,0.018536938240347228,0.02122905027932961
215840,1,4,90.0,2017,6.92238,6.33021,12,3.3226,0.015854356934020555,0.025139664804469275
215841,1,4,90.0,2017,7.07378,6.45538,12,2.5652,0.015854356934020555,0.025139664804469275
215842,1,4,90.0,2017,7.02219,6.44562,12,2.7647,0.015854356934020555,0.025139664804469275
216070,2,5,180.0,2017,7.21019,6.15846,13,3.0667,0.031214395514965194,0.02578212290502794
216091,1,6,75.0,2017,7.08815,6.47745,10,2.3333,0.03919884257166109,0.014944134078212292
216092,1,6,75.0,2017,7.25027,6.58555,10,2.1905,0.03919884257166109,0.014944134078212292
216094,2,6,60.0,2017,6.79292,6.16178,10,2.9444,0.03919884257166109,0.014944134078212292
216132,1,4,120.0,2017,8.02633,7.7272,12,3.434,0.0254995930915996,0.022725458898643254
216199,2,2,45.0,2017,7.51888,6.0224,14,2.6667,0.06160894595653615,0.03528282122905028
216201,2,6,120.0,2016,7.08056,6.35571,12,2.1935,0.01775326280254393,0.01543296089385475
216403,2,4,60.0,2017,7.30903,6.03883,14,2.2353,0.018536938240347228,0.02274790502793296
216428,1,4,30.0,2017,7.23462,6.14393,10,1.8387,0.017391566446634716,0.04151536312849163
216439,2,4,20.0,2017,6.70015,5.89402,8,1.4286,0.04466949995478795,0.04592178770949721
216459,1,5,50.0,2017,7.10671,6.64747,14,1.8261,0.05292823341471501,0.03733705772811918
216597,1,5,45.0,2017,7.24524,6.25177,10,2.28,0.017813545528528797,0.037313780260707634
216600,1,5,60.0,2019,7.44631,6.31336,14,2.3333,0.048889290773728784,0.03195220360024829
216632,3,6,45.0,2017,7.19143,6.13333,14,2.4444,0.10832805859480965,0.017039106145251396
216658,2,2,45.0,2017,7.48471,6.04439,14,2.0,0.10832805859480965,0.0057262569832402235
216734,2,6,40.0,2018,7.71823,6.87208,8,2.0526,0.05818790125689483,0.0339036312849162
217083,2,2,60.0,2017,7.623,6.2312,13,2.9474,0.018536938240347228,0.0057262569832402235
217085,2,4,60.0,2017,6.92461,6.42284,8,1.9016,0.05392289839346535,0.04165502793296089
217362,2,4,30.0,2017,6.56095,5.78592,8,1.3636,0.03318564065467041,0.022765363128491617
217372,2,4,60.0,2017,7.56942,7.25418,10,1.9512,0.01808481779546071,0.024767225325884542
217398,2,4,120.0,2017,7.48094,6.25636,14,3.1667,0.027466317026855955,0.039255786113328014
217449,1,4,20.0,2017,6.93883,6.61361,8,1.1786,0.010489194321367213,0.018272811918063316
217475,2,6,15.0,2017,6.41139,5.75052,8,1.0,0.029116556650691745,0.039455307262569836
217776,2,6,90.0,2017,7.34969,6.04417,8,3.2174,0.026935075504114295,0.024132083000798082
